Timestamp,Date,Open,High,Low,Close
2021.12.09 00:00:00,2021.12.09 00:00:00,4857.50900,4858.26200,4827.87300,4829.09600
2021.12.09 01:00:00,2021.12.09 01:00:00,4829.06300,4834.07300,4807.26600,4814.57000
2021.12.09 02:00:00,2021.12.09 02:00:00,4814.56100,4860.84000,4811.52700,4853.18400
2021.12.09 03:00:00,2021.12.09 03:00:00,4853.17500,4885.05300,4848.25000,4883.64200
2021.12.09 04:00:00,2021.12.09 04:00:00,4883.63900,4896.87700,4882.12300,4883.92600
2021.12.09 05:00:00,2021.12.09 05:00:00,4883.92500,4894.71000,4878.15500,4884.05500
2021.12.09 06:00:00,2021.12.09 06:00:00,4884.04600,4884.04600,4866.33300,4866.33300
2021.12.09 07:00:00,2021.12.09 07:00:00,4866.32400,4868.54800,4855.49300,4859.33900
2021.12.09 08:00:00,2021.12.09 08:00:00,4859.32900,4874.93800,4846.60600,4868.66300
2021.12.09 09:00:00,2021.12.09 09:00:00,4868.66000,4883.34200,4863.07900,4868.94700
2021.12.09 10:00:00,2021.12.09 10:00:00,4868.93100,4897.15700,4865.48200,4892.77500
2021.12.09 11:00:00,2021.12.09 11:00:00,4892.77400,4896.17400,4873.13700,4886.34800
2021.12.09 12:00:00,2021.12.09 12:00:00,4886.34600,4897.88800,4883.46300,4895.61300
2021.12.09 13:00:00,2021.12.09 13:00:00,4895.60700,4915.07000,4889.30600,4911.10200
2021.12.09 14:00:00,2021.12.09 14:00:00,4911.08300,4951.70200,4911.02100,4945.28600
2021.12.09 15:00:00,2021.12.09 15:00:00,4945.26800,4945.26800,4925.21400,4939.14700
2021.12.09 16:00:00,2021.12.09 16:00:00,4939.14400,4948.49900,4925.79500,4946.79400
2021.12.09 17:00:00,2021.12.09 17:00:00,4946.78000,4960.36800,4933.83300,4958.83700
2021.12.09 18:00:00,2021.12.09 18:00:00,4958.82400,4958.82400,4939.85400,4946.53800
2021.12.09 19:00:00,2021.12.09 19:00:00,4946.52900,4946.52900,4923.12100,4929.98600
2021.12.09 20:00:00,2021.12.09 20:00:00,4929.96600,4940.65900,4915.07500,4934.19600
2021.12.09 21:00:00,2021.12.09 21:00:00,4934.19200,4934.19200,4914.67900,4914.67900
2021.12.09 22:00:00,2021.12.09 22:00:00,4914.67300,4914.67300,4893.73900,4893.73900
2021.12.09 23:00:00,2021.12.09 23:00:00,4893.71700,4896.42500,4880.23700,4880.23700
2021.12.10 00:00:00,2021.12.10 00:00:00,4880.23400,4912.35200,4877.61400,4897.30800
2021.12.10 01:00:00,2021.12.10 01:00:00,4897.29900,4900.47900,4881.48100,4881.48100
2021.12.10 02:00:00,2021.12.10 02:00:00,4881.47600,4898.75400,4876.08200,4896.64300
2021.12.10 03:00:00,2021.12.10 03:00:00,4896.64100,4903.03700,4871.17900,4871.17900
2021.12.10 04:00:00,2021.12.10 04:00:00,4871.16600,4882.62000,4857.66900,4857.66900
2021.12.10 05:00:00,2021.12.10 05:00:00,4857.64600,4884.51300,4854.66000,4882.82900
2021.12.10 06:00:00,2021.12.10 06:00:00,4882.82800,4890.96700,4861.40900,4869.24800
2021.12.10 07:00:00,2021.12.10 07:00:00,4869.24700,4874.54900,4858.42000,4858.42000
2021.12.10 08:00:00,2021.12.10 08:00:00,4858.40400,4858.40400,4836.55400,4842.81100
2021.12.10 09:00:00,2021.12.10 09:00:00,4842.80100,4842.80100,4828.76500,4831.89200
2021.12.10 10:00:00,2021.12.10 10:00:00,4831.87500,4841.53600,4818.31200,4834.49600
2021.12.10 11:00:00,2021.12.10 11:00:00,4834.48500,4834.48500,4804.97000,4804.97000
2021.12.10 12:00:00,2021.12.10 12:00:00,4804.96700,4818.83700,4801.91200,4809.20500
2021.12.10 13:00:00,2021.12.10 13:00:00,4809.18900,4809.86000,4793.85300,4796.46600
2021.12.10 14:00:00,2021.12.10 14:00:00,4796.46200,4798.80100,4781.26900,4789.66700
2021.12.10 15:00:00,2021.12.10 15:00:00,4789.65300,4810.53000,4788.21500,4806.07400
2021.12.10 16:00:00,2021.12.10 16:00:00,4806.06800,4806.06800,4788.36300,4788.36300
2021.12.10 17:00:00,2021.12.10 17:00:00,4788.36100,4842.24800,4780.85400,4839.98900
2021.12.10 18:00:00,2021.12.10 18:00:00,4839.98800,4839.98800,4815.40300,4815.40300
2021.12.10 19:00:00,2021.12.10 19:00:00,4815.39900,4825.15500,4808.37900,4812.62500
2021.12.10 20:00:00,2021.12.10 20:00:00,4812.61000,4841.50400,4812.46700,4835.76900
2021.12.10 21:00:00,2021.12.10 21:00:00,4835.75500,4861.48400,4833.95900,4860.97200
2021.12.10 22:00:00,2021.12.10 22:00:00,4860.95700,4862.93300,4844.10100,4844.10100
2021.12.10 23:00:00,2021.12.10 23:00:00,4844.09400,4851.89500,4836.11300,4848.63000
2021.12.11 00:00:00,2021.12.11 00:00:00,4848.61200,4861.74400,4847.70300,4851.44500
2021.12.11 01:00:00,2021.12.11 01:00:00,4851.44400,4851.44400,4830.28200,4832.30200
2021.12.11 02:00:00,2021.12.11 02:00:00,4832.28400,4832.54500,4810.53200,4817.45000
2021.12.11 03:00:00,2021.12.11 03:00:00,4817.44500,4827.36600,4806.87300,4821.44700
2021.12.11 04:00:00,2021.12.11 04:00:00,4821.43400,4832.92100,4815.48900,4821.40700
2021.12.11 05:00:00,2021.12.11 05:00:00,4821.38800,4842.95300,4805.86400,4832.07100
2021.12.11 06:00:00,2021.12.11 06:00:00,4832.06600,4843.27400,4818.99000,4837.30700
2021.12.11 07:00:00,2021.12.11 07:00:00,4837.29700,4838.44700,4819.85300,4825.37600
2021.12.11 08:00:00,2021.12.11 08:00:00,4825.37400,4825.37400,4811.29900,4815.77400
2021.12.11 09:00:00,2021.12.11 09:00:00,4815.77100,4831.01900,4812.56500,4814.33900
2021.12.11 10:00:00,2021.12.11 10:00:00,4814.33000,4814.33000,4786.94000,4789.33900
2021.12.11 11:00:00,2021.12.11 11:00:00,4789.31400,4830.96700,4787.68400,4824.94700
2021.12.11 12:00:00,2021.12.11 12:00:00,4824.93400,4832.98400,4821.43800,4821.68500
